id;municipio;poblacion_total;poblacion_mayores;proporcion_mayores
9184;Jaramillo Quemado;9;0;0.01
19279;Torre del Burgo;501;25;4.99
40101;Hontanares de Eresma;1585;97;6.12
31086;Valle de Egüés/Eguesibar;21807;1359;6.23
40072;Encinillas;334;21;6.29
19230;Quer;1031;70;6.79
9023;Arcos;1808;125;6.91
50089;Cuarte de Huerva;14513;1031;7.1
19220;Pioz;5246;376;7.17
28015;Arroyomolinos;35675;2559;7.17
19326;Yebes;5178;376;7.26
45161;Seseña;28684;2085;7.27
37092;Castellanos de Moriscos;2951;218;7.39
47010;Arroyo de la Encomienda;21725;1644;7.57
4052;Huércal de Almería;18423;1406;7.63
45123;Ontígola;4872;387;7.94
40077;Espirdo;1533;123;8.02
37085;Carbajosa de la Sagrada;7482;605;8.09
40906;San Cristóbal de Segovia;3138;258;8.22
37207;Moriscos;547;45;8.23
19024;Alovera;13214;1095;8.29
19095;Condemios de Abajo;12;1;8.33
50163;María de Huerva;6312;526;8.33
9315;Revillarruz;623;53;8.51
31902;Berrioplano/Berriobeiti;7450;644;8.64
28053;Daganzo de Arriba;10468;908;8.67
22228;Tierz;816;71;8.7
28104;Paracuellos de Jarama;26748;2328;8.7
18911;Vegas del Genil;12004;1061;8.84
43109;Pobla de Mafumet, La;4030;360;8.93
47231;Zaratán;6247;558;8.93
47007;Aldeamayor de San Martín;5962;536;8.99
45018;Barcience;1066;96;9.01
19118;Fuembellida;11;1;9.09
28075;Loeches;9020;824;9.14
45199;Viso de San Juan, El;5902;543;9.2
19126;Galápagos;2702;249;9.22
16905;Arcas;2148;200;9.31
28083;Meco;15313;1448;9.46
50219;Puebla de Alfindén, La;6415;609;9.49
41028;Castilleja de Guzmán;2851;272;9.54
47133;Renedo de Esgueva;3906;373;9.55
13064;Poblete;2831;272;9.61
19319;Villanueva de la Torre;6573;640;9.74
26168;Villamediana de Iregua;8907;870;9.77
28177;Villanueva del Pardillo;17442;1709;9.8
19225;Pozo de Guadalajara;1612;159;9.86
4102;Vícar;27533;2714;9.86
37023;Aldeatejada;2503;247;9.87
9073;Cardeñadijo;1446;144;9.96
4903;Mojonera, La;8619;859;9.97
31023;Aranguren;12315;1231;10
37087;Carrascal de Barregas;1409;141;10.01
28041;Cobeña;7624;768;10.07
28123;Rivas-Vaciamadrid;98179;9899;10.08
43122;Renau;158;16;10.13
20904;Baliarrain;148;15;10.14
44113;Fuentes de Rubielos;167;17;10.18
10065;Collado de la Vera;285;29;10.18
45023;Burguillos de Toledo;3600;367;10.19
9439;Villalbilla de Burgos;1478;151;10.22
31076;Cizur;3863;396;10.25
31906;Orkoien;3991;409;10.25
50182;Muela, La;6364;652;10.25
45176;Ugena;5696;586;10.29
25110;Guissona;7431;770;10.36
35015;Pájara;20767;2151;10.36
4066;Níjar;32172;3337;10.37
40031;Bernuy de Porreros;1059;110;10.39
4902;Ejido, El;87500;9103;10.4
34217;Villalobón;1864;194;10.41
9058;Buniel;622;65;10.45
19274;Torija;1703;178;10.45
20046;Irura;1885;197;10.45
40155;Palazuelos de Eresma;5807;607;10.45
28116;Pozuelo del Rey;1269;133;10.48
28167;Velilla de San Antonio;13185;1382;10.48
28172;Villalbilla;16386;1728;10.55
19280;Torrejón del Rey;6126;650;10.61
45205;Yuncos;11874;1264;10.65
45081;Illescas;30790;3295;10.7
19071;Casar, El;13163;1414;10.74
28073;Humanes de Madrid;19592;2105;10.74
4079;Roquetas de Mar;103756;11157;10.75
18905;Gabias, Las;22681;2440;10.76
34079;Grijota;2664;287;10.77
45088;Magán;3984;429;10.77
45183;Ventas de Retamosa, Las;4067;439;10.79
41040;Espartinas;16223;1752;10.8
41017;Bormujos;22536;2433;10.8
9434;Villagonzalo Pedernales;1863;202;10.84
42095;Golmayo;2990;325;10.87
45056;Chozas de Canales;4682;509;10.87
9276;Puebla de Arganzón, La;542;59;10.89
40207;Trescasas;1100;120;10.91
28161;Valdemoro;80596;8805;10.92
45052;Cobisa;4445;489;11
45038;Carranque;5247;579;11.03
21055;Palos de la Frontera;12656;1405;11.1
26154;Torremontalbo;9;1;11.11
18048;Cijuela;3591;399;11.11
23038;Guardia de Jaén, La;5156;573;11.11
19105;Chiloeches;3940;439;11.14
18014;Alhendín;10163;1132;11.14
9907;Alfoz de Quintanadueñas;2166;242;11.17
28137;Santos de la Humosa, Los;2780;311;11.19
28132;San Martín de la Vega;20097;2251;11.2
19058;Cabanillas del Campo;10949;1227;11.21
28175;Villamantilla;1568;176;11.22
47217;Villanubla;2876;324;11.27
35017;Puerto del Rosario;42630;4811;11.29
18111;Jun;4018;454;11.3
21046;Lucena del Puerto;3445;390;11.32
9458;Villariezo;715;81;11.33
37117;Doñinos de Salamanca;2273;258;11.35
45016;Argés;6892;783;11.36
28050;Cubas de la Sagra;6703;763;11.38
4101;Viator;6166;702;11.39
40083;Fuente el Olmo de Fuentidueña;278;32;11.51
18062;Churriana de la Vega;16167;1870;11.57
50066;Cadrete;4521;524;11.59
40173;Roda de Eresma;250;29;11.6
28108;Pedrezuela;6302;732;11.62
47052;Cistérniga;9054;1052;11.62
37278;San Cristóbal de la Cuesta;1109;129;11.63
37202;Monterrubio de Armuña;1306;152;11.64
19286;Tórtola de Henares;1366;159;11.64
9287;Quintanaortuño;283;33;11.66
37362;Villares de la Reina;6494;758;11.67
28002;Ajalvir;4791;560;11.69
45047;Cedillo del Condado;4283;501;11.7
17049;Celrà;5397;634;11.75
35022;Santa Lucía de Tirajana;75911;8930;11.76
39018;Cartes;5752;677;11.77
48005;Arakaldo;161;19;11.8
46117;Emperador;720;85;11.81
38017;Granadilla de Abona;55729;6583;11.81
28149;Torrejón de la Calzada;10135;1198;11.82
28129;San Agustín del Guadalix;13482;1593;11.82
28022;Boadilla del Monte;63271;7476;11.82
47155;Santovenia de Pisuerga;4582;546;11.92
41003;Albaida del Aljarafe;3227;385;11.93
28036;Casarrubuelos;4054;484;11.94
45121;Ocaña;13977;1669;11.94
35034;Yaiza;17126;2046;11.95
28162;Valdeolmos-Alalpardo;4497;538;11.96
52001;Melilla;83371;9969;11.96
18047;Cenes de la Vega;8123;975;12
45201;Yeles;6183;743;12.02
28032;Camarma de Esteruelas;7681;923;12.02
9372;Sotragero;291;35;12.03
46061;Beniflá;482;58;12.03
45099;Méntrida;6031;726;12.04
41019;Burguillos;6971;843;12.09
45119;Numancia de la Sagra;5423;656;12.1
45203;Yuncler;4788;580;12.11
18057;Cúllar Vega;7708;934;12.12
19171;Marchamalo;8167;990;12.12
43100;Pallaresos, Els;4921;597;12.13
8167;Polinyà;8432;1024;12.14
31083;Echarri/Etxarri;74;9;12.16
21059;Puerto Moral;279;34;12.19
21002;Aljaraque;22092;2694;12.19
40033;Brieva;90;11;12.22
41010;Almensilla;6485;793;12.23
30018;Ceutí;12589;1541;12.24
8294;Vallgorguina;3192;391;12.25
29038;Cártama;27665;3391;12.26
30037;Torre-Pacheco;38662;4743;12.27
41070;Palomares del Río;9025;1113;12.33
19046;Azuqueca de Henares;34834;4324;12.41
43119;Puigpelat;1214;151;12.44
4904;Balanegra;2986;372;12.46
40112;Lastrilla, La;4509;562;12.46
46903;San Antonio de Benagéber;10079;1257;12.47
21050;Moguer;22642;2823;12.47
19079;Castilnuevo;8;1;12.5
5018;Avellaneda;24;3;12.5
12063;Fuente la Reina;56;7;12.5
21044;Lepe;28617;3577;12.5
22054;Benasque;2287;286;12.51
28140;Serranillos del Valle;4555;570;12.51
46178;Nàquera/Náquera;8084;1013;12.53
40094;Garcillán;518;65;12.55
28086;Molar, El;9661;1212;12.55
31018;Añorbe;629;79;12.56
19300;Valdeaveruelo;1199;151;12.59
43103;Perafort;1287;162;12.59
28176;Villanueva de la Cañada;22949;2891;12.6
35014;Oliva, La;28679;3613;12.6
26143;Sojuela;602;76;12.62
8291;Vacarisses;7362;929;12.62
35004;Arrecife;63750;8043;12.62
47027;Cabezón de Pisuerga;3791;479;12.64
19160;Loranca de Tajuña;1495;190;12.71
4075;Pulpí;11480;1459;12.71
41044;Gelves;10348;1316;12.72
18022;Atarfe;19907;2535;12.73
20903;Astigarraga;7580;966;12.74
38001;Adeje;49270;6276;12.74
8290;Ullastrell;2154;276;12.81
11029;Puerto Serrano;6846;877;12.81
51001;Ceuta;82982;10637;12.82
45145;Recas;4972;638;12.83
31041;Ayegui/Aiegi;2499;321;12.85
13056;Miguelturra;15589;2003;12.85
43081;Maspujols;855;110;12.87
25011;Alcarràs;9927;1278;12.87
28096;Navalcarnero;31432;4047;12.88
37354;Villamayor;7453;961;12.89
28141;Sevilla la Nueva;9437;1216;12.89
41016;Bollullos de la Mitación;11061;1427;12.9
45107;Nambroca;5188;670;12.91
7048;Sant Josep de sa Talaia;29888;3862;12.92
25007;Albatàrrec;2212;287;12.97
31122;Huarte/Uharte;7480;970;12.97
3904;San Isidro;2218;288;12.98
20048;Larraul;254;33;12.99
28023;Boalo, El;8337;1083;12.99
21021;Cartaya;20883;2714;13
47023;Boecillo;4276;559;13.07
47050;Cigales;5296;692;13.07
17012;Avinyonet de Puigventós;1674;219;13.08
50209;Pinseque;4293;562;13.09
17155;Salt;32517;4261;13.1
19331;Yunquera de Henares;4363;572;13.11
1001;Alegría-Dulantzi;2931;385;13.14
28095;Navalagamella;2983;392;13.14
46172;Montserrat;9167;1205;13.14
35030;Tuineje;15744;2071;13.15
1901;Iruña Oka/Iruña de Oca;3560;469;13.17
45041;Casarrubios del Monte;6750;889;13.17
9074;Cardeñajimeno;1191;157;13.18
21064;San Juan del Puerto;9612;1267;13.18
31088;Noáin (Valle de Elorz)/Noain (Elortzibar);8309;1098;13.21
8148;Olivella;4342;574;13.22
28094;Navalafuente;1663;220;13.23
19117;Fontanar;2598;344;13.24
4024;Benahadux;4605;610;13.25
41094;Umbrete;9192;1218;13.25
30042;Villanueva del Río Segura;3757;499;13.28
31905;Beriáin;4081;543;13.31
9109;Condado de Treviño;1466;196;13.37
18095;Güevéjar;2648;354;13.37
25228;Torrefarrera;4828;647;13.4
46202;Pobla de Vallbona, la;26242;3517;13.4
35002;Agüimes;32095;4300;13.4
40026;Basardilla;149;20;13.42
31109;Galar;2318;311;13.42
50132;Joyosa, La;1132;152;13.43
28119;Quijorna;3842;516;13.43
40097;Grajera;253;34;13.44
28044;Colmenarejo;9532;1281;13.44
35018;San Bartolomé;19298;2594;13.44
7003;Alcúdia;21401;2876;13.44
41049;Guillena;13507;1817;13.45
45122;Olías del Rey;8623;1161;13.46
20905;Orendain;237;32;13.5
7026;Eivissa;51402;6947;13.52
8902;Vilanova del Vallès;5581;755;13.53
28106;Parla;130577;17712;13.56
25012;Alcoletge;3520;478;13.58
28033;Campo Real;6651;904;13.59
21005;Almonte;25341;3445;13.59
28150;Torrejón de Velasco;4699;640;13.62
28169;Venturada;2524;344;13.63
28178;Villanueva de Perales;1701;232;13.64
4074;Pechina;4366;596;13.65
7046;Sant Antoni de Portmany;27780;3793;13.65
